Num of Layer Detected : 118 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0|TIDL_DataLayer                |images                                            |     0|    -1|     1|  x   x   x   x   x   x   x   x |  0       |       0        0        0        0 |       1        3      384      384 |         0 |
    1|TIDL_ConvolutionLayer         |/0/model.0/conv_slice/act/Relu_output_0           |     0|     1|     1|  0   x   x   x   x   x   x   x |  1       |       1        3      384      384 |       1       12      192      192 |  12386304 |
    2|TIDL_ConvolutionLayer         |/0/model.0/conv/act/Relu_output_0                 |     0|     1|     1|  1   x   x   x   x   x   x   x |  2       |       1       12      192      192 |       1       32      192      192 | 128581632 |
    3|TIDL_ConvolutionLayer         |/0/model.1/act/Relu_output_0                      |     0|     1|     1|  2   x   x   x   x   x   x   x |  3       |       1       32      192      192 |       1       64       96       96 | 170459136 |
    4|TIDL_ConvolutionLayer         |/0/model.2/cv1/act/Relu_output_0                  |     0|     1|     1|  3   x   x   x   x   x   x   x |  4       |       1       64       96       96 |       1       32       96       96 |  19169280 |
    5|TIDL_ConvolutionLayer         |/0/model.2/m/m.0/cv1/act/Relu_output_0            |     0|     1|     1|  4   x   x   x   x   x   x   x |  5       |       1       32       96       96 |       1       32       96       96 |   9732096 |
    6|TIDL_ConvolutionLayer         |/0/model.2/m/m.0/cv2/act/Relu_output_0            |     0|     1|     1|  5   x   x   x   x   x   x   x |  6       |       1       32       96       96 |       1       32       96       96 |  85229568 |
    7|TIDL_EltWiseLayer             |/0/model.2/m/m.0/Add_output_0                     |     0|     2|     1|  4   6   x   x   x   x   x   x |  7       |       1       32       96       96 |       1       32       96       96 |    294912 |
    8|TIDL_ConvolutionLayer         |/0/model.2/cv2/act/Relu_output_0                  |     0|     1|     1|  3   x   x   x   x   x   x   x |  8       |       1       64       96       96 |       1       32       96       96 |  19169280 |
    9|TIDL_ConcatLayer              |/0/model.2/Concat_output_0                        |     0|     2|     1|  7   8   x   x   x   x   x   x |  9       |       1       32       96       96 |       1       64       96       96 |    589824 |
   10|TIDL_ConvolutionLayer         |/0/model.2/cv3/act/Relu_output_0                  |     0|     1|     1|  9   x   x   x   x   x   x   x | 10       |       1       64       96       96 |       1       64       96       96 |  38338560 |
   11|TIDL_ConvolutionLayer         |/0/model.3/act/Relu_output_0                      |     0|     1|     1| 10   x   x   x   x   x   x   x | 11       |       1       64       96       96 |       1      128       48       48 | 170164224 |
   12|TIDL_ConvolutionLayer         |/0/model.4/cv1/act/Relu_output_0                  |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1      128       48       48 |       1       64       48       48 |  19021824 |
   13|TIDL_ConvolutionLayer         |/0/model.4/m/m.0/cv1/act/Relu_output_0            |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1       64       48       48 |       1       64       48       48 |   9584640 |
   14|TIDL_ConvolutionLayer         |/0/model.4/m/m.0/cv2/act/Relu_output_0            |     0|     1|     1| 13   x   x   x   x   x   x   x | 14       |       1       64       48       48 |       1       64       48       48 |  85082112 |
   15|TIDL_EltWiseLayer             |/0/model.4/m/m.0/Add_output_0                     |     0|     2|     1| 12  14   x   x   x   x   x   x | 15       |       1       64       48       48 |       1       64       48       48 |    147456 |
   16|TIDL_ConvolutionLayer         |/0/model.4/m/m.1/cv1/act/Relu_output_0            |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1       64       48       48 |       1       64       48       48 |   9584640 |
   17|TIDL_ConvolutionLayer         |/0/model.4/m/m.1/cv2/act/Relu_output_0            |     0|     1|     1| 16   x   x   x   x   x   x   x | 17       |       1       64       48       48 |       1       64       48       48 |  85082112 |
   18|TIDL_EltWiseLayer             |/0/model.4/m/m.1/Add_output_0                     |     0|     2|     1| 15  17   x   x   x   x   x   x | 18       |       1       64       48       48 |       1       64       48       48 |    147456 |
   19|TIDL_ConvolutionLayer         |/0/model.4/m/m.2/cv1/act/Relu_output_0            |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1       64       48       48 |       1       64       48       48 |   9584640 |
   20|TIDL_ConvolutionLayer         |/0/model.4/m/m.2/cv2/act/Relu_output_0            |     0|     1|     1| 19   x   x   x   x   x   x   x | 20       |       1       64       48       48 |       1       64       48       48 |  85082112 |
   21|TIDL_EltWiseLayer             |/0/model.4/m/m.2/Add_output_0                     |     0|     2|     1| 18  20   x   x   x   x   x   x | 21       |       1       64       48       48 |       1       64       48       48 |    147456 |
   22|TIDL_ConvolutionLayer         |/0/model.4/cv2/act/Relu_output_0                  |     0|     1|     1| 11   x   x   x   x   x   x   x | 22       |       1      128       48       48 |       1       64       48       48 |  19021824 |
