Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 0, 0, 0, 3, 384, 384, 0, FRAME, 0, 0, 1, 0, 0, 1, 1,,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, DDR, DMA, 148612, 148611, 3, 446976, 386, 7e, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Conv, 3, 384, 384, 12, 192, 192, 3, ROW_L, 386, 386, 64680, 148226, 3, 1, 3,,,,,,,,, L2, DMA, 129856, 129856, 3, 454144, 0, 0, ,,,,,,,, MSMC, CPU, 37568, 37443, 12, 450944, 194, 3e, ,,,,,,,, L2, DMA, 28, 28, 12, 384, 0, 6ee00, ,,,,,,,, 
 2,     Conv, 12, 192, 192, 32, 192, 192, 12, ROW_L, 388, 448, 17792, 37443, 3, 1, 3,,,,,,,,, L2, DMA, 36032, 36032, 12, 450176, 0, 0, ,,,,,,,, MSMC, CPU, 37568, 37443, 32, 1202304, 194, 3e, ,,,,,,,, L2, DMA, 192, 109, 32, 6144, 0, 6de80, ,,,,,,,, 
 3,     Conv, 32, 192, 192, 64, 96, 96, 32, ROW_L, 194, 194, 6176, 37250, 6, 1, 6,,,,,,,,, L2, DMA, 12608, 12608, 32, 428160, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 64, 610432, 98, 12589e, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, 68880, ,,,,,,,, 
 4,     Conv, 64, 96, 96, 32, 96, 96, 64, ROW_L, 0, 0, 3456, 9312, 3, 1, 3,,,,,,,,, L2, DMA, 6976, 6976, 64, 449920, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 32, 305280, 98, 1e, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6dd80, ,,,,,,,, 
 5,     Conv, 32, 96, 96, 32, 96, 96, 32, ROW_L, 0, 0, 7040, 9312, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 32, 452608, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 32, 305280, 98, 4a89e, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 6e800, ,,,,,,,, 
 6,     Conv, 32, 96, 96, 32, 96, 96, 32, ROW_L, 196, 256, 6784, 9507, 2, 1, 2,,,,,,,,, L2, DMA, 13888, 13888, 32, 444416, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 32, 305280, 98, 4a89e, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 6c800, ,,,,,,,, 
 7,  EltWise, 64, 96, 96, 32, 96, 96, 64,  COL, 0, 0, 9311, 9312, 4, 1, 4,,,,,,,,, L2, DMA, 9536, 9536, 16, 305152, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 32, 305280, 98, 1e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 8,     Conv, 64, 96, 96, 32, 96, 96, 64, ROW_L, 0, 0, 3456, 9312, 3, 1, 3,,,,,,,,, L2, DMA, 6976, 6976, 64, 449920, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 32, 305280, 98, 4a89e, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 6dd80, ,,,,,,,, 
 9,   Concat, 64, 96, 96, 64, 96, 96, 64,  COL, 0, 0, 9311, 9312, 4, 1, 4,,,,,,,,, L2, DMA, 9536, 9536, 32, 305152, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 64, 610432, 98, 1e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 10,     Conv, 64, 96, 96, 64, 96, 96, 64, ROW_L, 0, 0, 3392, 9312, 3, 1, 3,,,,,,,,, L2, DMA, 6848, 6848, 64, 441600, 0, 0, ,,,,,,,, MSMC, CPU, 9536, 9507, 64, 610432, 98, 1e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6bd00, ,,,,,,,, 
 11,     Conv, 64, 96, 96, 128, 48, 48, 64, ROW_L, 98, 98, 2716, 9410, 4, 1, 4,,,,,,,,, L2, DMA, 5568, 5568, 64, 361856, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, 950ce, ,,,,,,,, L2, DMA, 704, 577, 128, 90112, 0, 58580, ,,,,,,,, 
 12,     Conv, 128, 48, 48, 64, 48, 48, 128, ROW_L, 0, 0, 1664, 2352, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 128, 434176, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 4e, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6a000, ,,,,,,,, 
 13,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 0, 0, 2352, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2368, 2368, 64, 151552, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 25000, ,,,,,,,, 
 14,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 100, 128, 2323, 2451, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 159744, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 27000, ,,,,,,,, 
 15,  EltWise, 128, 48, 48, 64, 48, 48, 128,  COL, 0, 0, 2351, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 16,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 0, 0, 2352, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2368, 2368, 64, 151552, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 25000, ,,,,,,,, 
 17,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 100, 128, 2323, 2451, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 159744, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 27000, ,,,,,,,, 
 18,  EltWise, 128, 48, 48, 64, 48, 48, 128,  COL, 0, 0, 2351, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 19,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 0, 0, 2352, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2368, 2368, 64, 151552, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 25000, ,,,,,,,, 
 20,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 100, 128, 2323, 2451, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 159744, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 27000, ,,,,,,,, 
 21,  EltWise, 128, 48, 48, 64, 48, 48, 128,  COL, 0, 0, 2351, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 22,     Conv, 128, 48, 48, 64, 48, 48, 128, ROW_L, 0, 0, 1664, 2352, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 128, 434176, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 270ce, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6a000, ,,,,,,,, 
 23,   Concat, 128, 48, 48, 128, 48, 48, 128,  COL, 0, 0, 2351, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 128, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24,     Conv, 128, 48, 48, 128, 48, 48, 128, ROW_L, 0, 0, 1600, 2352, 2, 1, 2,,,,,,,,, L2, DMA, 3264, 3264, 128, 417792, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, 4e0ce, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 66000, ,,,,,,,, 
 25,     Conv, 128, 48, 48, 256, 24, 24, 128, ROW_L, 50, 50, 490, 2402, 5, 1, 5,,,,,,,,, L2, DMA, 1088, 1088, 128, 140800, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 66, ,,,,,,,, L2, DMA, 1216, 1153, 256, 311296, 0, 22600, ,,,,,,,, 
 26,     Conv, 256, 24, 24, 128, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 2c0e6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 2c000, ,,,,,,,, 
 27,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 9c166, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 16000, ,,,,,,,, 
 28,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 52, 64, 587, 651, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 9c166, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 16000, ,,,,,,,, 
